Province/State,Country/Region,Date,Confirmed Case
none,Vietnam,04/01/2020,218
none,Vietnam,04/02/2020,233
none,Vietnam,04/03/2020,237
none,Vietnam,04/04/2020,240
none,Vietnam,04/05/2020,241
none,Vietnam,04/06/2020,245
none,Vietnam,04/07/2020,249
none,Vietnam,04/08/2020,251
none,Vietnam,04/09/2020,255
none,Vietnam,04/10/2020,257
none,Vietnam,04/11/2020,258
none,Vietnam,04/12/2020,262
none,Vietnam,04/13/2020,265
none,Vietnam,04/14/2020,266
none,Vietnam,04/15/2020,267
none,Vietnam,04/16/2020,268
none,Vietnam,04/17/2020,268
none,Vietnam,04/18/2020,268
none,Vietnam,04/19/2020,268
none,Vietnam,04/20/2020,268
none,Vietnam,04/21/2020,268
none,Vietnam,04/22/2020,268
none,Vietnam,04/23/2020,268
none,Vietnam,04/24/2020,270
none,Vietnam,04/25/2020,270
none,Vietnam,04/26/2020,270
none,Vietnam,04/27/2020,270
none,Vietnam,04/28/2020,270
none,Vietnam,04/29/2020,270
none,Vietnam,04/30/2020,270
none,Vietnam,05/01/2020,270
none,Italy,04/01/2020,110574
none,Italy,04/02/2020,115242
none,Italy,04/03/2020,119827
none,Italy,04/04/2020,124632
none,Italy,04/05/2020,128948
none,Italy,04/06/2020,132547
none,Italy,04/07/2020,135586
none,Italy,04/08/2020,139422
none,Italy,04/09/2020,143626
none,Italy,04/10/2020,147577
none,Italy,04/11/2020,152271
none,Italy,04/12/2020,156363
none,Italy,04/13/2020,159516
none,Italy,04/14/2020,162488
none,Italy,04/15/2020,165155
none,Italy,04/16/2020,168941
none,Italy,04/17/2020,172434
none,Italy,04/18/2020,175925
none,Italy,04/19/2020,178972
none,Italy,04/20/2020,181228
none,Italy,04/21/2020,183957
none,Italy,04/22/2020,187327
none,Italy,04/23/2020,189973
none,Italy,04/24/2020,192994
none,Italy,04/25/2020,195351
none,Italy,04/26/2020,197675
none,Italy,04/27/2020,199414
none,Italy,04/28/2020,201505
none,Italy,04/29/2020,203591
none,Italy,04/30/2020,205463
none,Italy,05/01/2020,207428
none,US,04/01/2020,213242
none,US,04/02/2020,243622
none,US,04/03/2020,275367
none,US,04/04/2020,308650
none,US,04/05/2020,336802
none,US,04/06/2020,366317
none,US,04/07/2020,397121
none,US,04/08/2020,428654
none,US,04/09/2020,462780
none,US,04/10/2020,496535
none,US,04/11/2020,526396
none,US,04/12/2020,555313
none,US,04/13/2020,580619
none,US,04/14/2020,607670
none,US,04/15/2020,636350
none,US,04/16/2020,667592
none,US,04/17/2020,699706
none,US,04/18/2020,732197
none,US,04/19/2020,758809
none,US,04/20/2020,784326
none,US,04/21/2020,811865
none,US,04/22/2020,840351
none,US,04/23/2020,869170
none,US,04/24/2020,905358
none,US,04/25/2020,938154
none,US,04/26/2020,965785
none,US,04/27/2020,988197
none,US,04/28/2020,1012582
none,US,04/29/2020,1039909
none,US,04/30/2020,1069424
none,US,05/01/2020,1103461
French Guiana,France,04/01/2020,51
French Guiana,France,04/02/2020,51
French Guiana,France,04/03/2020,57
French Guiana,France,04/04/2020,61
French Guiana,France,04/05/2020,61
French Guiana,France,04/06/2020,72
French Guiana,France,04/07/2020,72
French Guiana,France,04/08/2020,77
French Guiana,France,04/09/2020,83
French Guiana,France,04/10/2020,83
French Guiana,France,04/11/2020,83
French Guiana,France,04/12/2020,86
French Guiana,France,04/13/2020,86
French Guiana,France,04/14/2020,86
French Guiana,France,04/15/2020,86
French Guiana,France,04/16/2020,86
French Guiana,France,04/17/2020,96
French Guiana,France,04/18/2020,96
French Guiana,France,04/19/2020,96
French Guiana,France,04/20/2020,97
French Guiana,France,04/21/2020,97
French Guiana,France,04/22/2020,97
French Guiana,France,04/23/2020,107
French Guiana,France,04/24/2020,111
French Guiana,France,04/25/2020,111
French Guiana,France,04/26/2020,111
French Guiana,France,04/27/2020,111
French Guiana,France,04/28/2020,125
French Guiana,France,04/29/2020,125
French Guiana,France,04/30/2020,126
French Guiana,France,05/01/2020,128
French Polynesia,France,04/01/2020,37
French Polynesia,France,04/02/2020,37
French Polynesia,France,04/03/2020,39
French Polynesia,France,04/04/2020,40
French Polynesia,France,04/05/2020,41
French Polynesia,France,04/06/2020,42
French Polynesia,France,04/07/2020,47
French Polynesia,France,04/08/2020,51
French Polynesia,France,04/09/2020,51
French Polynesia,France,04/10/2020,51
French Polynesia,France,04/11/2020,51
French Polynesia,France,04/12/2020,53
French Polynesia,France,04/13/2020,55
French Polynesia,France,04/14/2020,55
French Polynesia,France,04/15/2020,55
French Polynesia,France,04/16/2020,55
French Polynesia,France,04/17/2020,55
French Polynesia,France,04/18/2020,55
French Polynesia,France,04/19/2020,55
French Polynesia,France,04/20/2020,56
French Polynesia,France,04/21/2020,56
French Polynesia,France,04/22/2020,57
French Polynesia,France,04/23/2020,57
French Polynesia,France,04/24/2020,57
French Polynesia,France,04/25/2020,57
French Polynesia,France,04/26/2020,57
French Polynesia,France,04/27/2020,57
French Polynesia,France,04/28/2020,58
French Polynesia,France,04/29/2020,58
French Polynesia,France,04/30/2020,58
French Polynesia,France,05/01/2020,58
Guadeloupe,France,04/01/2020,125
Guadeloupe,France,04/02/2020,128
Guadeloupe,France,04/03/2020,130
Guadeloupe,France,04/04/2020,134
Guadeloupe,France,04/05/2020,135
Guadeloupe,France,04/06/2020,135
Guadeloupe,France,04/07/2020,139
Guadeloupe,France,04/08/2020,141
Guadeloupe,France,04/09/2020,141
Guadeloupe,France,04/10/2020,143
Guadeloupe,France,04/11/2020,143
Guadeloupe,France,04/12/2020,143
Guadeloupe,France,04/13/2020,143
Guadeloupe,France,04/14/2020,145
Guadeloupe,France,04/15/2020,145
Guadeloupe,France,04/16/2020,145
Guadeloupe,France,04/17/2020,145
Guadeloupe,France,04/18/2020,148
Guadeloupe,France,04/19/2020,148
Guadeloupe,France,04/20/2020,148
Guadeloupe,France,04/21/2020,148
Guadeloupe,France,04/22/2020,148
Guadeloupe,France,04/23/2020,148
Guadeloupe,France,04/24/2020,149
Guadeloupe,France,04/25/2020,149
Guadeloupe,France,04/26/2020,149
Guadeloupe,France,04/27/2020,149
Guadeloupe,France,04/28/2020,149
Guadeloupe,France,04/29/2020,149
Guadeloupe,France,04/30/2020,151
Guadeloupe,France,05/01/2020,152
Mayotte,France,04/01/2020,94
Mayotte,France,04/02/2020,116
Mayotte,France,04/03/2020,128
Mayotte,France,04/04/2020,134
Mayotte,France,04/05/2020,147
Mayotte,France,04/06/2020,147
Mayotte,France,04/07/2020,171
Mayotte,France,04/08/2020,171
Mayotte,France,04/09/2020,184
Mayotte,France,04/10/2020,191
Mayotte,France,04/11/2020,196
Mayotte,France,04/12/2020,196
Mayotte,France,04/13/2020,207
Mayotte,France,04/14/2020,217
Mayotte,France,04/15/2020,217
Mayotte,France,04/16/2020,233
Mayotte,France,04/17/2020,245
Mayotte,France,04/18/2020,254
Mayotte,France,04/19/2020,271
Mayotte,France,04/20/2020,271
Mayotte,France,04/21/2020,311
Mayotte,France,04/22/2020,326
Mayotte,France,04/23/2020,326
Mayotte,France,04/24/2020,354
Mayotte,France,04/25/2020,380
Mayotte,France,04/26/2020,401
Mayotte,France,04/27/2020,401
Mayotte,France,04/28/2020,460
Mayotte,France,04/29/2020,460
Mayotte,France,04/30/2020,539
Mayotte,France,05/01/2020,539
New Caledonia,France,04/01/2020,16
New Caledonia,France,04/02/2020,18
New Caledonia,France,04/03/2020,18
New Caledonia,France,04/04/2020,17
New Caledonia,France,04/05/2020,18
New Caledonia,France,04/06/2020,18
New Caledonia,France,04/07/2020,18
New Caledonia,France,04/08/2020,18
New Caledonia,France,04/09/2020,18
New Caledonia,France,04/10/2020,18
New Caledonia,France,04/11/2020,18
New Caledonia,France,04/12/2020,18
New Caledonia,France,04/13/2020,18
New Caledonia,France,04/14/2020,18
New Caledonia,France,04/15/2020,18
New Caledonia,France,04/16/2020,18
New Caledonia,France,04/17/2020,18
New Caledonia,France,04/18/2020,18
New Caledonia,France,04/19/2020,18
New Caledonia,France,04/20/2020,18
New Caledonia,France,04/21/2020,18
New Caledonia,France,04/22/2020,18
New Caledonia,France,04/23/2020,18
New Caledonia,France,04/24/2020,18
New Caledonia,France,04/25/2020,18
New Caledonia,France,04/26/2020,18
New Caledonia,France,04/27/2020,18
New Caledonia,France,04/28/2020,18
New Caledonia,France,04/29/2020,18
New Caledonia,France,04/30/2020,18
New Caledonia,France,05/01/2020,18
Reunion,France,04/01/2020,281
Reunion,France,04/02/2020,308
Reunion,France,04/03/2020,321
Reunion,France,04/04/2020,334
Reunion,France,04/05/2020,344
